0 0_0 1 1_0 1 2_0 1 4_0 1 3_3 1 3_0 0 0_1 0 1_1 0 2_1 0 3_1 0 4_1 0 0_2 0 1_2 0 2_2 0 3_2 0 4_2 0 0_3 0 1_3 0 2_3 0 4_3 0 0_4 0 1_4 0 2_4 0 3_4 0 4_4 0
1 0_1 1 1_1 1 2_1 1 3_1 1 0_4 1 0_0 0 1_0 0 2_0 0 3_0 0 4_0 0 4_1 0 0_2 0 1_2 0 2_2 0 3_2 0 4_2 0 0_3 0 1_3 0 2_3 0 3_3 0 4_3 0 1_4 0 2_4 0 3_4 0 4_4 0
2 0_2 1 1_2 1 3_2 1 4_2 1 1_3 1 0_0 0 1_0 0 2_0 0 3_0 0 4_0 0 0_1 0 1_1 0 2_1 0 3_1 0 4_1 0 2_2 0 0_3 0 2_3 0 3_3 0 4_3 0 0_4 0 1_4 0 2_4 0 3_4 0 4_4 0
3 3_0 1 0_3 1 1_3 1 2_3 1 4_3 1 0_0 0 1_0 0 2_0 0 4_0 0 0_1 0 1_1 0 2_1 0 3_1 0 4_1 0 0_2 0 1_2 0 2_2 0 3_2 0 4_2 0 3_3 0 0_4 0 1_4 0 2_4 0 3_4 0 4_4 0
4 4_3 1 0_4 1 1_4 1 2_4 1 4_4 1 0_0 0 1_0 0 2_0 0 3_0 0 4_0 0 0_1 0 1_1 0 2_1 0 3_1 0 4_1 0 0_2 0 1_2 0 2_2 0 3_2 0 4_2 0 0_3 0 1_3 0 2_3 0 3_3 0 3_4 0
5 0_0 1 0_1 1 4_1 1 0_2 1 0_3 1 1_0 0 2_0 0 3_0 0 4_0 0 1_1 0 2_1 0 3_1 0 1_2 0 2_2 0 3_2 0 4_2 0 1_3 0 2_3 0 3_3 0 4_3 0 0_4 0 1_4 0 2_4 0 3_4 0 4_4 0
6 1_0 1 1_1 1 1_2 1 2_2 1 1_4 1 0_0 0 2_0 0 3_0 0 4_0 0 0_1 0 2_1 0 3_1 0 4_1 0 0_2 0 3_2 0 4_2 0 0_3 0 1_3 0 2_3 0 3_3 0 4_3 0 0_4 0 2_4 0 3_4 0 4_4 0
7 2_1 1 3_1 1 2_2 1 2_3 1 2_4 1 0_0 0 1_0 0 2_0 0 3_0 0 4_0 0 0_1 0 1_1 0 4_1 0 0_2 0 1_2 0 3_2 0 4_2 0 0_3 0 1_3 0 3_3 0 4_3 0 0_4 0 1_4 0 3_4 0 4_4 0
8 2_0 1 3_0 1 3_2 1 3_3 1 3_4 1 0_0 0 1_0 0 4_0 0 0_1 0 1_1 0 2_1 0 3_1 0 4_1 0 0_2 0 1_2 0 2_2 0 4_2 0 0_3 0 1_3 0 2_3 0 4_3 0 0_4 0 1_4 0 2_4 0 4_4 0
9 4_0 1 4_1 1 4_2 1 3_4 1 4_4 1 0_0 0 1_0 0 2_0 0 3_0 0 0_1 0 1_1 0 2_1 0 3_1 0 0_2 0 1_2 0 2_2 0 3_2 0 0_3 0 1_3 0 2_3 0 3_3 0 4_3 0 0_4 0 1_4 0 2_4 0
